filename,hsize,rsize
737914_4_M.pdf,37 MB,38335171
1334533_3_M.pdf,42 MB,44139973
2970033_3_M.pdf,228 MB,238883447
3693502_2_M.pdf,68 MB,70820855
148043_2_M.pdf,3.31 GB,3555774031
4641595_1_M.pdf,116 MB,121339040
2851092_7_M.pdf,69 MB,71882755
2897365_8_M.pdf,142 MB,148875785
649511_11_M.pdf,143 MB,150235998
3833711_6_M.pdf,740 MB,776198936
11641_2_M.pdf,268 MB,281089543
731984_3_M.pdf,538 MB,564231235
10672_1_M.pdf,960 MB,1006467597
4739676_1_M.pdf,81 MB,84535997
3680867_8_M.pdf,117 MB,122628199
641267_8_M.pdf,135 MB,142015710
3616822_3_M.pdf,86 MB,90020405
743026_17_M.pdf,204 MB,213458269
3892148_5_M.pdf,164 MB,171955484
1383997_6_M.pdf,205 MB,215051636
3646093_2_M.pdf,51 MB,53708643
4601947_1_M.pdf,202 MB,211975794
1838568_3_M.pdf,138 MB,145082354
13224_4_M.pdf,235 MB,246326154
2847973_7_M.pdf,123 MB,129258433
3810024_2_M.pdf,217 MB,228013292
4752794_1_M.pdf,38 MB,39721407
3517984_3_M.pdf,251 MB,262911952
3611679_2_M.pdf,31 MB,32618719
619135_2_M.pdf,2 MB,2099718
4155659_3_M.pdf,97 MB,101900064
609710_3_M.pdf,201 MB,210469910
2923011_3_M.pdf,427 MB,447262820
3254469_2_M.pdf,47 MB,49307534
2901316_8_M.pdf,54 MB,56746442
4653386_4_M.pdf,105 MB,109828160
558123_2_M.pdf,200 MB,210026495
4756404_3_M.pdf,389 MB,408298138
1803838_2_M.pdf,56 MB,59112241
286041_8_M.pdf,431 MB,452365936
3234364_2_M.pdf,32 MB,33469431
4130349_7_M.pdf,79 MB,83316713
1444090_4_M.pdf,131 MB,137540313
1488721_3_M.pdf,93 MB,97274228
188733_7_M.pdf,201 MB,210368404
4416267_2_M.pdf,150 MB,157451646
4660857_2_M.pdf,76 MB,79680812
615863_2_M.pdf,139 MB,145420337
3854192_2_M.pdf,73 MB,76744879
558445_4_M.pdf,46 MB,48740641
1406773_2_M.pdf,71 MB,73949124
601913_2_M.pdf,65 MB,68309876
556343_6_M.pdf,81 MB,84756226
3228311_3_M.pdf,45 MB,46669857
724826_8_M.pdf,52 MB,54501302
775984_7_M.pdf,96 MB,101116963
4193303_2_M.pdf,366 MB,383740668
2866876_3_M.pdf,170 MB,178191155
4168891_2_M.pdf,3.19 GB,3420609990
